human_pick	RandomBot	RaredraftBot	ClassicBot	BayesBot	NNetBot	NNetCustomBot
Abnormal_Endurance	0.2631578947368421	0.15789473684210525	0.5263157894736842	0.10526315789473684	0.3684210526315789	0.42105263157894735
Act_of_Treason	0.14814814814814814	0.037037037037037035	0.4444444444444444	0.14814814814814814	0.5185185185185185	0.4444444444444444
Aegis_of_the_Heavens	0.2	0.4	0.2	0.0	0.2	0.2
Aerial_Engineer	0.0	0.6	0.2	0.5	0.5	0.4
Aether_Tunnel	0.08333333333333333	0.4166666666666667	0.08333333333333333	0.0	0.0	0.08333333333333333
Aethershield_Artificer	0.0	0.3333333333333333	0.0	0.0	0.16666666666666666	0.0
Ajani's_Pridemate	0.0	0.1111111111111111	0.7777777777777778	0.5555555555555556	0.3333333333333333	0.2222222222222222
Ajani's_Welcome	0.21428571428571427	0.7857142857142857	0.42857142857142855	0.6428571428571429	0.5	0.5
Ajani_Adversary_of_Tyrants	0.0	1.0	1.0	1.0	1.0	1.0
Alpine_Moon	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333
Amulet_of_Safekeeping	0.16666666666666666	1.0	0.3333333333333333	0.3333333333333333	0.5	0.3333333333333333
Angel_of_the_Dawn	0.1	0.0	0.4	0.45	0.55	0.55
Anticipate	0.18421052631578946	0.13157894736842105	0.39473684210526316	0.34210526315789475	0.6578947368421053	0.5789473684210527
Apex_of_Power	0.0	1.0	0.5	1.0	1.0	1.0
Arcades_the_Strategist	0.25	1.0	0.5	1.0	0.5	0.75
Arcane_Encyclopedia	0.0	0.0	0.0	0.16666666666666666	0.3333333333333333	0.3333333333333333
Aven_Wind_Mage	0.10256410256410256	0.02564102564102564	0.41025641025641024	0.28205128205128205	0.38461538461538464	0.38461538461538464
Aviation_Pioneer	0.11764705882352941	0.058823529411764705	0.4411764705882353	0.38235294117647056	0.38235294117647056	0.4411764705882353
Banefire	0.0	1.0	0.8888888888888888	1.0	0.7777777777777778	0.7777777777777778
Blanchwood_Armor	0.1	0.4	0.2	0.3	0.4	0.3
Blood_Divination	0.25	0.5	0.0	0.0	0.25	0.25
Boggart_Brute	0.20833333333333334	0.0	0.4583333333333333	0.16666666666666666	0.3333333333333333	0.4166666666666667
Bogstomper	0.3157894736842105	0.3157894736842105	0.5789473684210527	0.3157894736842105	0.631578947368421	0.5789473684210527
Bone_to_Ash	0.3	0.7333333333333333	0.26666666666666666	0.6333333333333333	0.3	0.36666666666666664
Brawl-Bash_Ogre	0.0	0.75	0.125	0.5	0.25	0.25
Bristling_Boar	0.1388888888888889	0.1388888888888889	0.5555555555555556	0.3888888888888889	0.4444444444444444	0.5555555555555556
Cancel	0.23809523809523808	0.14285714285714285	0.38095238095238093	0.47619047619047616	0.47619047619047616	0.42857142857142855
Catalyst_Elemental	0.35294117647058826	0.17647058823529413	0.4411764705882353	0.2647058823529412	0.29411764705882354	0.4411764705882353
Cavalry_Drillmaster	0.06666666666666667	0.06666666666666667	0.4	0.3333333333333333	0.6	0.5333333333333333
Centaur_Courser	0.08695652173913043	0.0	0.43478260869565216	0.08695652173913043	0.2608695652173913	0.21739130434782608
Chaos_Wand	0.1	1.0	0.3	1.0	0.4	0.4
Child_of_Night	0.15384615384615385	0.07692307692307693	0.38461538461538464	0.3076923076923077	0.5384615384615384	0.5384615384615384
Chromium_the_Mutable	0.0	1.0	1.0	1.0	1.0	1.0
Cinder_Barrens	0.2727272727272727	0.36363636363636365	0.36363636363636365	0.18181818181818182	0.36363636363636365	0.36363636363636365
Cleansing_Nova	0.3333333333333333	1.0	0.0	0.6666666666666666	0.0	0.3333333333333333
Colossal_Dreadmaw	0.1111111111111111	0.044444444444444446	0.4666666666666667	0.5111111111111111	0.4	0.5111111111111111
Colossal_Majesty	0.17647058823529413	0.5882352941176471	0.47058823529411764	0.17647058823529413	0.35294117647058826	0.4117647058823529
Crash_Through	0.45714285714285713	0.2571428571428571	0.6	0.5142857142857142	0.6	0.6
Crucible_of_Worlds	0.2	1.0	0.3	0.7	0.6	0.6
Daggerback_Basilisk	0.14285714285714285	0.14285714285714285	0.5476190476190477	0.4523809523809524	0.42857142857142855	0.42857142857142855
Daybreak_Chaplain	0.15625	0.03125	0.28125	0.15625	0.28125	0.34375
Death_Baron	0.0	1.0	0.5	1.0	1.0	1.0
Declare_Dominance	0.09090909090909091	0.18181818181818182	0.6363636363636364	0.2727272727272727	0.36363636363636365	0.36363636363636365
Demanding_Dragon	0.0	1.0	0.5	1.0	0.25	0.75
Departed_Deckhand	0.08333333333333333	0.4166666666666667	0.8333333333333334	0.75	0.8333333333333334	0.8333333333333334
Desecrated_Tomb	0.2	1.0	0.2	0.2	0.2	0.2
Detection_Tower	0.3333333333333333	1.0	0.6666666666666666	0.6666666666666666	0.8333333333333334	0.8333333333333334
Diamond_Mare	0.14285714285714285	0.14285714285714285	0.2857142857142857	0.42857142857142855	0.8571428571428571	0.7142857142857143
Diregraf_Ghoul	0.625	0.375	0.25	0.375	0.625	0.625
Dismissive_Pyromancer	0.0	1.0	1.0	1.0	1.0	1.0
Disperse	0.08571428571428572	0.11428571428571428	0.34285714285714286	0.3142857142857143	0.42857142857142855	0.45714285714285713
Divination	0.2	0.125	0.575	0.5	0.525	0.475
Djinn_of_Wishes	0.0	1.0	0.9	1.0	0.8	0.8
Doomed_Dissenter	0.0967741935483871	0.0967741935483871	0.06451612903225806	0.3225806451612903	0.22580645161290322	0.45161290322580644
Doublecast	0.2857142857142857	0.42857142857142855	0.2857142857142857	0.2857142857142857	0.42857142857142855	0.5714285714285714
Draconic_Disciple	0.1	0.4	0.6	0.5	0.6	0.5
Dragon's_Hoard	0.2	1.0	0.0	0.4	0.0	0.4
Dragon_Egg	0.06666666666666667	0.4666666666666667	0.13333333333333333	0.06666666666666667	0.4	0.3333333333333333
Druid_of_Horns	0.0	0.5	0.25	0.125	0.375	0.25
Druid_of_the_Cowl	0.14705882352941177	0.029411764705882353	0.5882352941176471	0.5588235294117647	0.5588235294117647	0.5588235294117647
Dryad_Greenseeker	0.06666666666666667	0.26666666666666666	0.8666666666666667	0.8666666666666667	0.8666666666666667	0.8666666666666667
Duress	0.37037037037037035	0.25925925925925924	0.4444444444444444	0.5555555555555556	0.48148148148148145	0.4074074074074074
Dwarven_Priest	0.0	0.0	0.07692307692307693	0.07692307692307693	0.15384615384615385	0.23076923076923078
Dwindle	0.04	0.0	0.52	0.28	0.4	0.32
Electrify	0.03571428571428571	0.0	0.5357142857142857	0.39285714285714285	0.6071428571428571	0.5
Elvish_Clancaller	0.0	1.0	0.0	0.0	0.3333333333333333	0.6666666666666666
Elvish_Rejuvenator	0.15789473684210525	0.10526315789473684	0.3684210526315789	0.6842105263157895	0.5263157894736842	0.49122807017543857
Enigma_Drake	0.11764705882352941	0.5882352941176471	0.35294117647058826	0.35294117647058826	0.4117647058823529	0.35294117647058826
Epicure_of_Blood	0.3333333333333333	0.0	0.2222222222222222	0.0	0.0	0.3333333333333333
Essence_Scatter	0.07692307692307693	0.02564102564102564	0.5897435897435898	0.2564102564102564	0.5128205128205128	0.38461538461538464
